run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-29_030346_1140063	3RScan	ebc42044-82a4-2113-8789-1c8c8bb7cbcd	all	19	9	0.278670	0.474170	0.666667	0.315789	0.428571	0.618951	6	3	13	0.666667	0.315789	0.428571	0.618951	6	3	13	0.111111	0.052632	0.071429	0.862408	1	8	18
2026-05-29_030346_1140063	3RScan	422885bd-192d-25fc-8571-abff2237f383	all	21	8	0.298186	0.629722	0.875000	0.333333	0.482759	0.707580	7	1	14	0.750000	0.285714	0.413793	0.764959	6	2	15	0.375000	0.142857	0.206897	0.873961	3	5	18
2026-05-29_030346_1140063	3RScan	0ad2d399-79e2-2212-99cf-7a3512734bd7	all	36	9	0.159409	0.514566	0.666667	0.166667	0.266667	0.709388	6	3	30	0.555556	0.138889	0.222222	0.776473	5	4	31	0.333333	0.083333	0.133333	0.860406	3	6	33
2026-05-29_030346_1140063	3RScan	4d3d82b0-8cf4-2e04-80a8-c955ea964c2f	all	22	7	0.202308	0.391323	0.500000	0.136364	0.214286	0.616117	3	3	19	0.285714	0.090909	0.137931	0.677886	2	5	20	0.000000	0.000000	0.000000	0.000000	0	7	22
2026-05-29_030346_1140063	3RScan	8eabc469-5af7-2f32-840f-c1be88e46c62	all	15	15	0.313163	0.280688	0.600000	0.600000	0.600000	0.417165	9	6	6	0.133333	0.133333	0.133333	0.679888	2	13	13	0.000000	0.000000	0.000000	0.000000	0	15	15
2026-05-29_030346_1140063	3RScan	742e8f15-be0a-294e-9ebb-6c72dbcb9662	all	25	15	0.249114	0.376402	0.600000	0.360000	0.450000	0.517832	9	6	16	0.266667	0.160000	0.200000	0.734014	4	11	21	0.133333	0.080000	0.100000	0.874976	2	13	23
2026-05-29_030346_1140063	3RScan	095821f7-e2c2-2de1-9568-b9ce59920e29	all	12	8	0.316820	0.399592	0.625000	0.416667	0.500000	0.544573	5	3	7	0.250000	0.166667	0.200000	0.738612	2	6	10	0.125000	0.083333	0.100000	0.859846	1	7	11
2026-05-29_030346_1140063	3RScan	5341b79f-8a66-2cdd-84d5-6dba6525dd75	all	23	9	0.152434	0.325116	0.666667	0.260870	0.375000	0.385768	6	3	17	0.111111	0.043478	0.062500	0.531350	1	8	22	0.000000	0.000000	0.000000	0.000000	0	9	23
2026-05-29_030346_1140063	3RScan	43b8cae9-6678-2e38-9bc2-8c31ab832242	all	26	28	0.241231	0.227648	0.285714	0.307692	0.296296	0.558678	8	20	18	0.142857	0.153846	0.148148	0.770407	4	24	22	0.071429	0.076923	0.074074	0.900926	2	26	24
2026-05-29_030346_1140063	3RScan	569d8f05-72aa-2f24-899c-58b243c8189d	all	33	13	0.164624	0.333965	0.538462	0.212121	0.304348	0.491451	7	6	26	0.230769	0.090909	0.130435	0.682969	3	10	30	0.076923	0.030303	0.043478	0.780097	1	12	32
